"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"1444",NA,10528,"Raliew Primary School",-0.1782,34.3866,"UNKNOWN","Kenya","KEN","Africa",2,1999,2,1999,12,18,17,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"1446",NA,12312,"Mikindani Primary School",-3.9993,39.6305,"UNKNOWN","Kenya","KEN","Africa",9,2009,9,2009,5,17,112,7,0.0625,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1448",NA,18265,"Mugumoni Primary School",-3.1748,39.9574,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,3,14,78,5,0.0641,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2009). <i>Report on the malaria prevalence survey in Malindi.</i> . Malindi. 1-4","",""
"1456",NA,9742,"Nyari & Mpirani",-3.5208,39.8082,"UNKNOWN","Kenya","KEN","Africa",3,1995,3,1995,1,4,82,43,0.5244,"P. falciparum","Microscopy","",NA,"true","true","","Marsh, K., . (1995) personal communication.","",""
"1457",NA,20539,"Mwangea",-3.844,39.2974,"UNKNOWN","Kenya","KEN","Africa",10,2003,10,2003,0.2,4,18,12,0.6667,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1458",NA,8394,"Sango",0.377,34.1175,"UNKNOWN","Kenya","KEN","Africa",2,2003,2,2003,0.4,5,35,35,1,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1460",NA,18482,"Got Matar & Mago Schools",-0.0282,34.1649,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,67,13,0.194,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"1461",NA,9955,"Gugu Primary School",-4.3849,39.2413,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,5,15,112,11,0.0982,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1466",NA,19846,"Vukani Primary School",-4.2606,39.5235,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,5,15,107,21,0.1963,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1467",NA,20214,"Cluster 29",-3.814,39.7555,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,1,9,6,0,0,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1475",NA,17104,"Shariani Primary School",-3.7898,39.8211,"UNKNOWN","Kenya","KEN","Africa",9,2008,9,2008,5,15,108,0,0,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1477",NA,4569,"Kurawa Kanagoni Primary School",-2.732,40.1437,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,5,15,104,1,0.0096,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1481",NA,11492,"Tulwet Primary School",-0.4867,35.1292,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,1,0.0091,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1483",NA,1927,"Kapsisiywa",0.3167,35.0616,"UNKNOWN","Kenya","KEN","Africa",4,2002,5,2002,1,15,161,17,0.1056,"P. falciparum","Microscopy","",NA,"true","true","","John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. and Ofulla, A.V. (2005).  <b>Low prevalence of <i>Plasmodium falciparum</i> infection among asymptomatic individuals in a highland area of Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>99</b>(10):780-6","John, CC, . (2009) personal communication.",""
"1485",NA,4139,"Obambo Primary School",-0.4926,34.303,"RURAL","Kenya","KEN","Africa",5,2004,7,2004,1,13,141,29,0.2057,"P. falciparum","Microscopy","",NA,"true","true","","Manda, H. and Gouagna, L.C., . (2009) personal communication.","",""
"1486",NA,3079,"Cluster 32",-3.804,39.7538,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,0.9,10,18,1,0.0556,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1487",NA,2081,"Kitare Primary School",-0.156,34.4812,"RURAL","Kenya","KEN","Africa",3,2007,5,2007,5,14,79,61,0.7722,"P. falciparum","Microscopy","",NA,"true","true","","Montgomery, S.R., Muok, EM, Mwinzi, PN, Williamson, JM, Secor, WE and Karanja, DM (2008). <i>Estimation of attributable risk of anemia due to schistosomiasis in western Kenya.</i> In: Abstract Book American Society of Tropical Medicine and Hygiene 57th Annual Meeting. New Orleans. .","Montgomery, SR, . (2009) personal communication.",""
"1488",NA,20395,"Bububu Primary School",-1.7546,40.0966,"UNKNOWN","Kenya","KEN","Africa",3,2009,3,2009,5,17,108,11,0.1019,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1491",NA,25,"Ndigiria Primary School",-3.3546,39.5221,"RURAL","Kenya","KEN","Africa",10,2008,10,2008,5,15,107,2,0.0187,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1492",NA,4319,"Njukini Primary School",-3.1847,37.7255,"UNKNOWN","Kenya","KEN","Africa",7,2009,7,2009,4,15,103,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1493",NA,8036,"Kibukoni",-3.5964,39.8028,"UNKNOWN","Kenya","KEN","Africa",6,1995,6,1995,2,9,10,9,0.9,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",""
"1494",NA,8918,"Cluster 17",-3.8303,39.7435,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,0.6,8,4,1,0.25,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1499",NA,4836,"Maweni/Timboni",-3.5761,39.8816,"UNKNOWN","Kenya","KEN","Africa",6,1989,3,1991,0,4,5,2,0.4,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"1500",NA,5191,"Mathanguni",-1.9107,37.5069,"UNKNOWN","Kenya","KEN","Africa",3,2003,8,2003,0.3,4,17,2,0.1176,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1504",NA,6460,"Kagombani Primary School",-3.1064,40.1486,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,5,15,106,1,0.0094,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1505",NA,21230,"Kaminogendo Primary School",-0.1496,34.3827,"RURAL","Kenya","KEN","Africa",3,2007,3,2007,5,14,95,33,0.3474,"P. falciparum","Microscopy","",NA,"true","true","","Montgomery, S.R., Muok, EM, Mwinzi, PN, Williamson, JM, Secor, WE and Karanja, DM (2008). <i>Estimation of attributable risk of anemia due to schistosomiasis in western Kenya.</i> In: Abstract Book American Society of Tropical Medicine and Hygiene 57th Annual Meeting. New Orleans. .","Montgomery, SR, . (2009) personal communication.",""
"1507",NA,22221,"Nyosia 2 Primary School",-0.6188,34.728,"UNKNOWN","Kenya","KEN","Africa",7,2009,7,2009,4,15,110,4,0.0364,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1508",NA,7237,"Wangarot Primary School",-0.1322,34.3065,"UNKNOWN","Kenya","KEN","Africa",2,1999,2,1999,12,18,23,6,0.2609,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"1509",NA,18062,"Nyachebe Beach",-0.4749,34.1731,"UNKNOWN","Kenya","KEN","Africa",12,2001,12,2001,1,20,161,45,0.2795,"P. falciparum","Microscopy","",NA,"true","true","","Okech, B.A. (2004). <i>Environmental factors affecting the development of <i>Plasmodium falciparum</i> in <i>Anopheles</i> gambaie mosquitoes.</i> UNKNOWN. . .","",""
"1511",NA,8316,"Kazuko Girls Primary School",-0.4458,39.6362,"UNKNOWN","Kenya","KEN","Africa",2,2009,2,2009,5,17,109,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1513",NA,874,"Garsen Primary School",-2.2654,40.1086,"UNKNOWN","Kenya","KEN","Africa",2,2009,2,2009,5,17,108,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1515",NA,13469,"Njabini",-0.726,36.6531,"UNKNOWN","Kenya","KEN","Africa",10,1999,10,1999,0,5,77,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Mwaniki, D.L. (2002). <i>Anaemia and status of iron, vitamin A and zinc in Kenya.</i> . Nairobi. UNICEF. 1-256","",""
"1516",NA,1783,"Bowa Primary School",-4.1992,39.5965,"UNKNOWN","Kenya","KEN","Africa",9,2008,9,2008,5,15,104,3,0.0288,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1517",NA,19974,"Kolewa",-3.8292,39.7528,"UNKNOWN","Kenya","KEN","Africa",2,2005,2,2005,1,6,105,82,0.781,"P. falciparum","Microscopy","",NA,"true","true","","Bejon, P., Mwacharo, J., Kai, O., Mwangi, T., Milligan, P., Todryk, S., Keating, S., Lang, T., Lowe, B., Gikonyo, C., Molyneux, C., Fegan, G., Gilbert, S.C., Peshu, N., Marsh, K. and Hill, A.V. (2006).  <b>A phase 2b randomised trial of the candidate malaria vaccines FP9 ME-TRAP and MVA ME-TRAP among children in Kenya.</b> <i>PLoS Clinical Trials</i>, <b>1</b>(6):e29","Bejon, P, . (2006) personal communication.",""
"1518",NA,20174,"Emurabe",0.3771,34.3456,"RURAL","Kenya","KEN","Africa",2,2003,2,2003,0.4,5,35,34,0.9714,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1519",NA,12845,"Mwamanga",-4.2688,39.5482,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.7,5,22,21,0.9545,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1520",NA,10110,"Mavia Primary School",-2.0328,38.2502,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1521",NA,20244,"Namuncha Primary School",-1.0679,36.5613,"RURAL","Kenya","KEN","Africa",10,2009,10,2009,5,17,110,1,0.0091,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1522",NA,7958,"Bondeni Kiu",-2.2502,37.816,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.5,5,14,1,0.0714,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1523",NA,2306,"Cluster 55",-3.5272,39.8587,"UNKNOWN","Kenya","KEN","Africa",4,2009,4,2009,3,11,4,0,0,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1525",NA,2060,"Kirudi",-4.228,39.5898,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.6,4,17,12,0.7059,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1532",NA,784,"Cluster 37",-3.5467,39.8278,"UNKNOWN","Kenya","KEN","Africa",4,2009,4,2009,0.9,12,12,0,0,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1536",NA,11678,"Cluster 6",-0.8392,34.808,"UNKNOWN","Kenya","KEN","Africa",7,2000,7,2000,1,89,201,4,0.0199,"P. falciparum","RDT","ICT Diagnostics Malaria P.f. ML01",NA,"true","true","","Guyatt, H.L., Corlett, S.K., Robinson, T.P., Ochola, S.A. and Snow, R.W. (2002).  <b>Malaria prevention in highland Kenya: indoor residual house-spraying vs. insecticide-treated bednets.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(4):298-303","Snow, RW, . (2002) personal communication.",""
"1539",NA,11957,"Palakumi Primary School",-3.6213,39.6059,"RURAL","Kenya","KEN","Africa",10,2008,10,2008,5,15,106,8,0.0755,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1540",NA,5001,"Cluster 15",-3.8388,39.7537,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,0.2,11,20,4,0.2,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1541",NA,10912,"Bondeni - Mulili",-2.271,37.8077,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.7,4,7,1,0.1429,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1542",NA,11101,"Kilifi Township Primary School",-3.6261,39.8509,"URBAN","Kenya","KEN","Africa",9,2008,9,2008,5,15,106,0,0,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1543",NA,1630,"Elgon Estate Primary School",0.5656,35.0665,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1546",NA,12512,"Najah Primary School",-0.4808,39.652,"UNKNOWN","Kenya","KEN","Africa",2,2009,2,2009,5,17,92,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1547",NA,7193,"Majaoni",-3.5513,39.8629,"UNKNOWN","Kenya","KEN","Africa",6,1989,9,1991,0,6,9,2,0.2222,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"1548",NA,4326,"Chumani",-3.4768,39.9145,"UNKNOWN","Kenya","KEN","Africa",3,1995,3,1995,1,4,67,30,0.4478,"P. falciparum","Microscopy","",NA,"true","true","","Marsh, K., . (1995) personal communication.","",""
"1549",NA,19129,"Didaade Primary School",-2.3479,40.1239,"UNKNOWN","Kenya","KEN","Africa",3,2009,3,2009,5,17,103,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1553",NA,1471,"Kombe Primary School",-0.4404,34.2186,"RURAL","Kenya","KEN","Africa",1,2004,2,2004,2,12,111,14,0.1261,"P. falciparum","Microscopy","",NA,"true","true","","Manda, H. and Gouagna, L.C., . (2009) personal communication.","",""
"1556",NA,17439,"Msaroni",-4.0866,39.0829,"UNKNOWN","Kenya","KEN","Africa",7,2003,9,2003,0.8,5,14,14,1,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"1559",NA,16953,"Kilifi Township",-3.6154,39.8448,"URBAN","Kenya","KEN","Africa",5,1989,11,1991,0,5,20,5,0.25,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"1560",NA,20230,"Lwala School",-0.0693,34.3207,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,258,6,0.0233,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"1561",NA,21129,"Makutano Primary School",-1.1562,36.5962,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,109,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1563",NA,7401,"Karinga Primary School",-0.7674,36.8841,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1564",NA,10011,"Cluster 38",-3.5402,39.8173,"UNKNOWN","Kenya","KEN","Africa",4,2009,4,2009,3,11,7,0,0,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"1565",NA,13470,"Rurii",-0.201,36.382,"UNKNOWN","Kenya","KEN","Africa",10,1999,10,1999,0,5,117,11,0.094,"P. falciparum","Microscopy","",NA,"true","true","","Mwaniki, D.L. (2002). <i>Anaemia and status of iron, vitamin A and zinc in Kenya.</i> . Nairobi. UNICEF. 1-256","",""
"1566",NA,13476,"Kilifi",-3.615,39.855,"URBAN","Kenya","KEN","Africa",10,1985,3,1986,0,99,66,3,0.0455,"P. falciparum","Microscopy","",NA,"true","true","","Ashford, R.W., Craig, P.S. and Oppenheimer, S.J. (1993).  <b>Polyparasitism on the Kenya coast. 2. Spatial heterogeneity in parasite distributions.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(3):283-93","",""
"1569",NA,9165,"Ilpolton Primary School",-0.6811,35.8188,"RURAL","Kenya","KEN","Africa",9,2009,9,2009,5,17,106,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"1570",NA,15476,"Murembo",-3.4985,39.8718,"UNKNOWN","Kenya","KEN","Africa",7,1989,11,1991,1,4,8,5,0.625,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"1571",NA,2997,"Kaya Primary School",-3.1496,39.9309,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,3,14,100,12,0.12,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2009). <i>Report on the malaria prevalence survey in Malindi.</i> . Malindi. 1-4","",""
"1572",NA,10954,"Boi Primary School",-0.1475,34.4252,"RURAL","Kenya","KEN","Africa",9,2006,11,2006,5,14,85,41,0.4824,"P. falciparum","Microscopy","",NA,"true","true","","Montgomery, S.R., Muok, EM, Mwinzi, PN, Williamson, JM, Secor, WE and Karanja, DM (2008). <i>Estimation of attributable risk of anemia due to schistosomiasis in western Kenya.</i> In: Abstract Book American Society of Tropical Medicine and Hygiene 57th Annual Meeting. New Orleans. .","Montgomery, SR, . (2009) personal communication.",""
"1573",NA,6810,"Jaribuni Primary School",-3.6202,39.7417,"RURAL","Kenya","KEN","Africa",10,2008,10,2008,5,15,109,2,0.0183,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"1576",NA,3063,"Ndalani Primary School",-1.0947,37.4857,"UNKNOWN","Kenya","KEN","Africa",10,2009,10,2009,5,17,109,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
